ingredient,general people inflammation,Sam inflammation,Andrea inflammation
Babyfood,0.118,,-0.999
Babyfood,0.521,,0.281
Babyfood,0.741,0.243,0.57
Babyfood,0.163,0.723,-0.635
Babyfood,0.248,,-0.743
Babyfood,0.852,,-0.089
Babyfood,0.508,0.444,-0.112
Babyfood,0.238,,
Babyfood,-0.339,0.478,
Bacon bits,0.784,0.672,
Bacon,-0.987,,-0.542
Bacon,-0.553,,0.587
Bacon,-0.252,-0.459,
Bagels,-0.113,-0.385,
Bagels,-0.167,,
Baking chocolate,0.303,-0.926,
Balsam-pear (bitter gourd),0.434,,
Balsam-pear (bitter gourd),0.183,-0.353,
Bamboo shoots,-0.253,-0.677,
Bananas,0.609,,
Bananas,-0.408,-0.001,
Bananas,0.848,,
Barley,-0.384,,
Basil,0.188,,
Beans,-0.272,,-0.515
Beans,0.927,,
Beans,-0.745,-0.774,
Beans,0.036,,0.849
Beans,0.097,,
Beans,-0.421,0.322,
Beans,0.787,-0.269,-0.492
Beans,-0.055,,-0.812
Beans,0.759,,-0.55
Beans,-0.468,-0.895,
Beans,-0.584,,
Beans,-0.307,0.559,0.351
Beans,0.596,,
Beans,0.515,,-0.868
Beans,-0.232,0.321,
Beans,0.135,,-0.681
Beans,-0.588,-0.882,0.706
Beans,0.286,-0.765,0.535
Beans,-0.323,,
Beans,0.641,0.063,
Beans,-0.225,,-0.255
Beans,-0.756,,
Beans,0.27,,0.04
Beans,-0.41,,
Beef,0.117,0.236,-0.727
Beef,-0.089,-0.785,0.847
Beef,-0.314,,
Beef,-0.21,0.592,
Beef,0.179,,
Beef,-0.436,-0.94,
Beef,0.074,,0.974
Beef,0.522,,
Beef,0.389,,
Beef,0.245,0.256,0.999
Beef,-0.236,,0.867
Beef,-0.833,,0.139
Beef,-0.347,,
Beef,-0.038,,-0.037
Beef,-0.03,0.052,
Beef,-0.181,-0.215,0.205
Beef,0.189,0.92,
Beef,-0.225,,0.072
Beef,0.762,,
Beef,0.085,0.394,
Beef,0.693,-0.253,
Beef,-0.485,0.035,
Beef,-0.462,0.851,
Beef,-0.219,-0.77,-0.406
Beef,-0.132,,-0.157
Beef,0.162,,
Beef,0.888,0.131,
Beef,-0.565,,
Beef,-0.374,,
Beef,-0.226,0.516,
Beef,0.406,,0.207
Beef,-0.15,0.959,
Beef,-0.128,,
Beef,0.771,,-0.806
Beef,0.573,-0.815,0.891
Beef,-0.018,0.77,
Beef,-0.032,,-0.054
Beef,-0.113,0.544,
Beef,0.467,0.948,
Beef,0.593,,
Beef,0.9,,0.602
Beef,-0.345,,-0.983
Beef,0.903,0.417,
Beef,0.779,0.955,
Beef,-0.623,-0.353,-0.475
Beef,0.986,,
Beef,0.976,0.464,
Beef,0.005,,0.432
Beef,-0.646,0.874,0.993
Beef,0.213,,-0.548
Beef,-0.03,0.366,-0.703
Beef,-0.75,0.398,
Beet greens,-0.951,,-0.604
Beets,-0.75,,
Beets,0.432,0.871,
Beets,-0.337,0.665,0.325
Beets,0.204,0.654,0.294
Beverage,-0.628,0.935,
Beverage,0.424,,
Beverages,-0.561,,0.528
Beverages,0.551,0.535,-0.684
Beverages,0.181,0.633,0.565
Beverages,0.275,,0.188
Beverages,0.206,,
Beverages,0.958,0.984,0.538
Beverages,-0.399,-0.681,-0.167
Beverages,-0.295,,
Beverages,-0.123,0.676,
Beverages,0.429,,
Beverages,0.01,,-0.854
Beverages,-0.886,-0.989,
Beverages,-0.691,,0.402
Beverages,-0.552,0.153,
Beverages,-0.144,,
Beverages,0.097,,
Beverages,-0.143,0.608,0.916
Beverages,-0.366,,
Beverages,-0.401,,
Beverages,0.628,0.628,0.805
Beverages,-0.98,,
Beverages,0.878,,-0.067
Beverages,-0.653,-0.369,
Beverages,-0.131,-0.359,0.193
Beverages,0.294,,
Beverages,0.063,,
Beverages,0.116,,
Beverages,-0.359,,-0.855
Beverages,0.637,,-0.281
Beverages,0.982,,-0.072
Beverages,-0.28,-0.985,
Beverages,0.307,,-0.304
Beverages,-0.685,0.357,-0.837
Beverages,0.727,-0.411,0.115
Beverages,-0.241,,
Beverages,-0.053,,
Beverages,0.999,,0.0
Beverages,-0.438,,
Beverages,-0.648,-0.437,0.077
Beverages,-0.533,,0.742
Beverages,-0.999,-0.32,-0.814
Beverages,0.325,,
Beverages,-0.951,,-0.824
Beverages,-0.941,0.054,-0.929
Beverages,0.783,0.014,0.047
Beverages,0.98,0.615,0.052
Beverages,-0.044,-0.786,-0.158
Beverages,0.873,,
Beverages,0.317,,0.06
Beverages,-0.953,0.552,
Beverages,0.867,,0.82
Beverages,-0.344,-0.558,
Beverages,-0.564,-0.157,
Beverages,-0.798,0.999,
Beverages,0.729,0.93,0.557
Beverages,-0.529,0.007,
Beverages,-0.52,,0.216
Beverages,-0.329,,-0.853
Beverages,-0.264,0.13,
Beverages,0.799,0.63,-0.833
Beverages,0.678,,-0.95
Beverages,0.318,0.225,
Beverages,0.73,,-0.865
Beverages,-0.992,,
Beverages,0.267,-0.951,-0.697
Beverages,0.221,,
Beverages,-0.035,,
Beverages,0.876,,
Beverages,0.126,,0.283
Beverages,-0.064,-0.762,
Beverages,-0.126,0.093,
Beverages,0.988,0.399,0.148
Beverages,0.78,,0.501
Beverages,0.649,0.208,
Beverages,0.036,,-0.441
Beverages,0.085,,0.115
Beverages,-0.775,,
Beverages,-0.88,,-0.697
Beverages,0.43,0.626,-0.937
Beverages,0.016,-0.16,-0.492
Beverages,-0.913,,-0.855
Beverages,-0.33,,
Beverages,0.636,,-0.786
Beverages,0.493,,-0.398
Beverages,-0.666,,
Beverages,-0.213,-0.253,-0.279
Beverages,-0.395,0.761,-0.551
Beverages,-0.023,0.935,0.032
Beverages,0.89,,0.122
Beverages,0.153,,
Beverages,0.689,,-0.08
Beverages,-0.731,0.636,
Beverages,-0.082,,0.557
Beverages,0.983,,
Beverages,-0.621,,-0.535
Beverages,0.411,-0.368,
Beverages,0.323,0.056,-0.835
Beverages,0.155,0.225,
Beverages,0.652,,
Beverages,-0.396,-0.961,-0.435
Beverages,-0.282,0.16,
Beverages,-0.726,,-0.479
Beverages,-0.705,,
Beverages,0.41,,-0.875
Beverages,-0.715,-0.127,
Beverages,0.54,-0.331,0.425
Beverages,0.064,,-0.094
Beverages,-0.53,-0.938,
Beverages,0.516,,0.772
Beverages,0.384,-0.663,-0.743
Beverages,-0.1,,
Beverages,0.85,,-0.021
Beverages,0.282,-0.813,
Beverages,0.123,,
Beverages,0.324,-0.165,0.255
Beverages,0.36,,-0.24
Beverages,-0.503,,
Beverages,0.152,-0.555,
Beverages,0.023,,0.191
Biscuits,-0.4,-0.597,-0.058
Bison,-0.188,,
Blackberries,-0.143,-0.722,0.461
Blackberries,-0.414,,0.232
Blackberry juice,-0.916,,0.407
Blood sausage,-0.851,0.292,-0.725
Blueberries,-0.216,-0.719,-0.49
Blueberries,0.395,-0.456,0.389
Blueberries,0.042,0.384,-0.721
Blueberries,0.432,,0.929
Bologna,0.282,-0.161,0.478
Bologna,0.216,0.809,0.748
Bratwurst,-0.598,-0.635,-0.977
Braunschweiger (a liver sausage),0.857,-0.017,0.809
Bread,0.803,,-0.67
Bread,0.1,,
Bread,0.694,0.894,
Bread,-0.679,0.856,0.52
Bread,-0.39,,
Bread,0.01,,0.704
Bread,-0.238,,0.997
Bread,-0.997,,
Bread,0.589,0.573,0.341
Bread,-0.189,0.324,
Bread,-0.805,0.787,-0.768
Bread,-0.117,,0.82
Bread,-0.95,0.329,
Bread,-0.343,-0.265,
Bread,0.615,-0.349,
Bread,0.54,,0.466
Bread,-0.984,-0.174,
Bread,-0.271,-0.046,
Bread,0.259,0.98,
Bread,-0.119,,0.468
Bread,0.704,,0.402
Bread,-0.319,-0.105,-0.564
Bread,0.746,-0.812,
Bread,-0.685,,0.364
Bread,0.73,0.855,
Bread,-0.612,,
Bread,0.723,-0.719,0.298
Bread,0.564,-0.592,
Bread,-0.421,,-0.708
Bread,0.603,-0.679,
Bread,-0.663,,-0.421
Bread,0.581,,
Breadfruit,0.735,-0.138,-0.773
Breakfast bar,-0.485,0.811,
Breakfast bars,0.5,0.798,
Broadbeans (fava beans),0.632,,-0.481
Broccoli raab,0.493,-0.7,0.397
Broccoli,-0.798,-0.267,
Broccoli,-0.952,,0.81
Broccoli,0.782,-0.149,
Brussels sprouts,0.952,,0.476
Brussels sprouts,0.395,,0.013
Buckwheat groats,0.381,,
Bulgur,-0.334,,
Bulgur,-0.124,0.921,
Burdock root,0.249,,-0.031
Butter oil,0.623,-0.555,0.565
Butter replacement,-0.983,,0.943
Butter,-0.596,,
Butter,-0.231,-0.177,
Butter,-0.153,0.703,
Butter,0.427,,-0.992
Buttermilk,-0.779,,0.229
Cabbage,0.94,0.312,-0.107
Cabbage,0.626,0.892,
Cabbage,0.598,-0.328,0.623
Cabbage,-0.726,-0.209,0.922
Cabbage,0.542,0.917,-0.129
Cake,0.696,0.958,
Cake,-0.396,,0.297
Cake,-0.207,-0.75,
Cake,0.011,-0.61,0.949
Cake,-0.679,-0.449,
Cake,-0.643,-0.799,
Cake,0.306,,0.712
Cake,-0.088,,
Cake,-0.382,,
Calcium as ingredient,0.803,,
Canadian bacon,-0.835,0.569,0.352
Candied fruit,-0.955,-0.397,-0.44
Candies,0.054,0.184,
Candies,0.194,,-0.62
Candies,-0.861,,
Candies,-0.646,-0.403,
Candies,-0.102,-0.001,0.589
Candies,-0.296,0.403,0.499
Candies,-0.392,-0.698,
Candies,0.372,,
Candies,0.103,,-0.954
Candies,0.012,,
Candies,0.505,-0.939,-0.925
Candies,-0.917,,
Candies,-0.815,-0.519,
Candies,-0.709,-0.391,
Candies,-0.566,-0.106,-0.548
Candies,0.663,0.641,-0.202
Candies,-0.772,0.906,
Candies,0.574,,0.92
Candies,0.124,,
Candies,0.277,0.46,
Candies,0.118,-0.989,-0.674
Candies,-0.562,-0.82,-0.407
Candies,-0.585,,0.995
Candies,0.706,,
Candies,-0.381,,-0.21
Candies,0.869,0.56,-0.663
Candies,-0.235,,-0.644
Candies,-0.054,,0.08
Candies,0.978,,0.814
Candies,0.318,,-0.775
Candies,-0.081,0.15,
Candies,-0.763,-0.776,0.263
Candies,0.626,,-0.937
Candies,-0.341,0.568,-0.128
Candies,0.985,0.141,0.911
Candies,-0.893,0.908,
Capers,0.028,,0.551
Carambola,0.296,0.275,
Carbonated beverage,-0.045,-0.842,
Carbonated beverage,0.299,,-0.305
Carrot juice,-0.972,0.095,0.429
Carrots,-0.634,-0.649,
Carrots,-0.662,,-0.639
Carrots,0.797,,-0.211
Carrots,0.288,-0.261,0.989
Carrots,-0.749,,-0.017
Carrots,-0.9,,0.991
Carrots,0.408,0.145,
Cassava,0.343,-0.909,-0.681
Catsup,-0.943,0.956,
Catsup,-0.126,,
Cauliflower,-0.879,-0.543,0.781
Cauliflower,-0.333,0.665,
Cauliflower,-0.368,-0.002,0.196
Celery,-0.503,-0.447,
Cereals ready-to-eat,0.088,,
Cereals,-0.342,0.119,
Cereals,0.833,,
Cereals,0.588,-0.485,
Cereals,-0.255,,0.416
Cereals,-0.567,-0.748,
Cereals,0.816,-0.69,0.408
Cereals,0.838,,0.053
Cereals,-0.914,,0.364
Cereals,0.947,-0.743,
Cereals,0.429,,
Chard,0.768,-0.509,
Chayote,-0.754,,0.418
Cheese product,-0.428,,
Cheese product,-0.233,-0.929,-0.53
Cheese puffs and twists,-0.758,,-0.784
Cheese sauce,-0.756,-0.772,
Cheese spread,0.436,,
Cheese spread,-0.312,-0.011,
Cheese spread,0.354,0.646,
Cheese,-0.335,,
Cheese,0.392,0.515,0.384
Cheese,-0.23,0.975,
Cheese,-0.535,,
Cheese,0.688,,-0.492
Cheese,0.307,0.427,
Cheese,0.119,0.528,-0.515
Cheese,-0.548,,
Cheese,0.309,,
Cheese,-0.32,-0.606,-0.838
Cheese,0.374,-0.943,
Cheese,-0.787,,0.407
Cheese,-0.522,,0.339
Cheese,0.869,0.188,
Cheese,-0.464,,
Cheese,0.402,-0.834,0.754
Cheese,0.471,-0.439,
Cheese,0.423,-0.511,0.901
Cheese,-0.557,0.199,
Cheese,-0.819,0.423,0.806
Cheese,0.832,0.335,
Cheese,0.044,-0.57,
Cheese,0.283,,
Cheese,0.239,,
Cheese,0.162,0.585,0.172
Cheese,0.241,,-0.993
Cheese,-0.708,-0.625,
Cheese,-0.435,,
Cheese,0.562,0.788,
Cheese,0.165,,
Cheese,0.344,,
Cheese,-0.674,,0.631
Cheese,-0.267,,0.184
Cheese,0.919,0.998,0.098
Cheese,0.052,0.608,
Cheese,-0.522,,
Cheese,0.374,-0.393,
Cheese,0.797,,
Cheese,0.841,,
Cheese,0.396,-0.239,-0.689
Cheese,0.667,,0.467
Cheese,-0.773,0.861,-0.514
Cheese,0.765,,
Cheese,-0.513,,
Cheese,0.529,-0.413,
Cheese,-0.685,,
Cheese,-0.032,,
Cheese,0.244,-0.069,0.643
Cherries,0.849,0.973,
Cherries,-0.979,,
Cherries,-0.834,-0.983,0.891
Cherries,-0.725,0.116,
Chewing gum,0.875,-0.224,0.866
Chewing gum,0.342,,-0.603
Chicken breast,0.552,0.835,
Chicken patty,0.76,,
Chicken tenders,-0.06,,
Chicken,0.604,-0.779,
Chicken,-0.635,,0.564
Chicken,0.284,,-0.684
Chicken,-0.852,,-0.84
Chicken,0.882,,
Chicken,0.181,0.21,-0.236
Chicken,-0.477,,0.934
Chicken,0.7,,0.295
Chicken,0.953,,
Chicken,0.502,0.787,-0.603
Chicken,-0.898,0.623,
Chicken,0.031,0.876,-0.329
Chicken,-0.322,,0.792
Chicken,-0.206,,
Chicken,-0.926,,
Chicken,0.823,-0.287,
Chicken,-0.288,-0.326,0.743
Chicken,0.839,-0.346,0.264
Chicken,-0.78,-0.747,0.796
Chicken,0.692,,
Chicken,-0.952,,0.111
Chicken,0.46,0.756,
Chicken,-0.738,-0.184,0.244
Chicken,-0.825,,-0.214
Chicken,-0.563,-0.072,
Chicken,-0.416,,0.145
Chicken,-0.007,0.013,
Chicken,-0.894,,
Chicken,0.331,-0.315,0.532
Chicken,-0.875,,
Chicken,0.389,,
Chicken,-0.35,,
Chicken,-0.56,-0.76,0.612
Chicken,0.815,0.101,-0.953
Chicken,-0.618,-0.936,
Chickpeas (garbanzo beans,-0.59,,
Chickpeas (garbanzo beans,-0.368,,0.498
Chickpeas (garbanzo beans,-0.633,,0.513
Child formula,-0.376,,
Chives,-0.152,-0.915,-0.611
Chocolate-flavored hazelnut spread,0.639,,
Cinnamon buns,0.503,0.459,0.248
Clif Z bar,0.157,-0.71,-0.302
Cocoa,0.796,,-0.002
Collards,0.02,,
Collards,0.599,,
Cookie,-0.869,,
Cookie,0.247,,-0.369
Cookie,-0.251,-0.366,-0.706
Cookie,0.76,-0.181,
Cookies,-0.857,,-0.561
Cookies,0.006,0.034,-0.515
Cookies,0.812,,-0.897
Cookies,0.502,-0.179,-0.236
Cookies,-0.599,,-0.382
Cookies,-0.664,,0.273
Cookies,0.794,,-0.859
Cookies,0.124,-0.944,
Cookies,-0.957,,
Cookies,-0.966,0.331,
Cookies,-0.306,,
Cookies,-0.084,,0.101
Cookies,-0.864,-0.83,
Cookies,-0.591,0.434,
Cookies,0.238,-0.91,
Cookies,-0.27,,-0.04
Cookies,0.438,,
Cookies,-0.301,,
Cookies,0.927,,
Cookies,-0.036,-0.309,-0.162
Cookies,0.494,0.111,
Cookies,-0.493,,0.817
Cookies,-0.721,0.471,
Cookies,0.457,-0.519,
Cookies,-0.14,,
Cookies,-0.692,,
Cookies,0.673,-0.052,-0.141
Cookies,-0.446,0.584,-0.631
Cookies,0.963,-0.384,0.837
Cookies,-0.797,-0.935,-0.916
Cookies,0.019,-0.852,-0.074
Cookies,-0.485,,0.646
Cookies,-0.849,,0.661
Cookies,0.673,0.45,
Cookies,-0.149,,
Cookies,-0.566,0.494,0.46
Cookies,0.807,,-0.004
Cookies,-0.734,0.354,0.427
Cookies,-0.013,0.392,
Cookies,0.723,,
Cookies,-0.399,-0.008,0.614
Cookies,0.966,,0.781
Cookies,-0.448,-0.458,
Cookies,0.955,-0.464,-0.298
Cookies,-0.861,0.55,
Cookies,0.58,0.65,-0.55
Cookies,0.705,,-0.617
Coriander (cilantro) leaves,-0.533,,
Corn dogs,0.806,,
Corn flour,0.143,0.27,-0.592
Corn flour,-0.89,,-0.688
Corn,-0.39,,
Corn,0.166,,
Corn,0.05,0.951,0.915
Corn,0.638,,
Corn,-0.588,-0.053,
Cornmeal,0.78,,-0.812
Cornmeal,0.756,-0.366,-0.679
Cornstarch,0.544,0.258,
Cottage cheese,-0.876,,
Couscous,-0.8,,
Cowpeas (blackeyes),0.025,0.648,-0.677
Cowpeas,-0.615,,
Crackers,-0.216,-0.97,-0.586
Crackers,-0.931,,-0.317
Crackers,-0.656,0.269,
Crackers,0.539,0.832,
Crackers,0.255,,-0.839
Crackers,0.496,,0.709
Crackers,0.944,,0.4
Crackers,0.889,,
Crackers,-0.503,0.319,0.078
Crackers,-0.517,,0.682
Crackers,-0.723,,-0.604
Crackers,0.158,,-0.177
Crackers,-0.274,,0.214
Crackers,0.79,,
Crackers,0.368,0.131,-0.362
Crackers,-0.079,0.958,
Crackers,-0.338,0.875,
Crackers,-0.582,,-0.72
Crackers,0.983,-0.823,0.003
Crackers,0.411,,-0.263
Crackers,-0.981,,
Crackers,0.093,0.564,
Crackers,0.258,,
Crackers,0.059,-0.135,
Crackers,-0.719,,-0.46
Cranberries,0.344,,
Cranberries,0.207,,
Cranberry juice blend,-0.269,,-0.94
Cranberry juice cocktail,0.336,0.356,0.291
Cranberry juice,0.652,,-0.845
Cranberry sauce,0.594,,-0.089
Cream cheese,0.442,0.242,-0.127
Cream puff shell,0.544,-0.961,
Cream puff,0.014,,
Cream substitute,-0.236,-0.433,
Cream substitute,0.992,-0.183,0.33
Cream substitute,-0.581,,-0.696
Cream substitute,-0.461,0.944,
Cream substitute,0.964,0.19,0.804
Cream substitute,0.997,,-0.992
Cream,0.005,,
Cream,-0.067,,-0.759
Cream,-0.193,-0.015,
Cream,-0.199,,
Cream,-0.399,-0.354,
Cream,0.806,,-0.447
Creamy dressing,0.321,-0.844,0.742
Creamy dressing,0.712,-0.37,-0.088
Cress,0.509,-0.859,
Croissants,0.241,,-0.615
Croissants,0.428,,
Croutons,0.945,,0.791
Crustaceans,-0.004,0.933,
Crustaceans,-0.385,-0.281,
Crustaceans,0.374,,-0.973
Crustaceans,-0.96,,-0.071
Crustaceans,-0.118,0.359,
Crustaceans,0.008,,
Crustaceans,0.468,,
Crustaceans,-0.161,,0.407
Crustaceans,0.726,-0.09,-0.999
Cucumber,-0.598,,-0.763
Currants,-0.139,,-0.307
Dandelion greens,-0.831,,
Danish pastry,0.44,0.815,-0.285
Danish pastry,0.282,,-0.258
Danish pastry,-0.168,,
Dates,-0.744,,
Dessert topping,0.321,0.5,
Dip,0.112,,-0.74
Dip,0.189,,-0.921
Doughnuts,0.731,0.73,
Doughnuts,-0.421,0.307,-0.484
Dove,0.806,,
Dressing,-0.403,0.947,
Duck,0.533,-0.317,
Duck,0.244,,
Dulce de Leche,-0.111,,0.585
Dumpling,-0.694,0.537,
Edamame,0.829,-0.16,
Egg rolls,-0.689,,
Egg substitute,-0.834,0.831,
Egg,-0.963,-0.319,0.36
Egg,-0.598,,-0.755
Egg,0.335,,-0.072
Egg,-0.071,0.926,-0.564
Egg,0.946,-0.835,-0.525
Eggnog,0.654,,
Eggplant,0.909,,0.875
Eggs,0.857,,
Eggs,0.262,,
Eggs,-0.079,-0.704,
Escarole,-0.384,,0.705
Fast food,-0.298,,
Fast Food,0.784,,
Fast Food,-0.999,,-0.03
Fast Food,0.607,,
Fast Food,0.423,0.561,
Fast Food,-0.834,-0.356,-0.862
Fast Food,0.246,,
Fast Food,0.045,0.711,-0.108
Fast foods,-0.966,,-0.226
Fast foods,0.396,-0.291,
Fast foods,-0.437,,
Fast foods,0.606,0.819,
Fast foods,0.154,0.892,0.079
Fast foods,0.625,-0.161,
Fast foods,-0.174,,
Fast foods,-0.958,-0.67,0.949
Fast foods,-0.705,,-0.902
Fast Foods,0.746,-0.689,
Fast Foods,-0.61,,
Fast Foods,-0.186,,
Fast Foods,0.458,0.525,
Fast Foods,0.743,-0.319,
Fast Foods,0.758,,
Fast Foods,0.105,,-0.065
Fast foods,0.665,,0.035
Fast foods,-0.927,-0.02,
Fast foods,0.196,,0.949
Fast foods,-0.671,,
Fast foods,-0.961,0.539,
Fast foods,-0.986,,-0.629
Fast foods,-0.626,,
Fast foods,-0.105,-0.25,-0.084
Fast foods,0.182,,
Fat,-0.387,,-0.391
Fat,0.181,,
Fat,0.726,,0.717
Fennel,-0.634,,0.562
Fiber,-0.613,,
Figs,0.811,-0.18,
Figs,0.04,0.54,
Fish broth,-0.799,0.889,-0.399
Fish,0.355,-0.697,-0.156
Fish,-0.373,-0.917,0.703
Fish,0.114,-0.828,0.054
Fish,0.319,,
Fish,0.835,,0.417
Fish,0.488,0.599,-0.449
Fish,0.636,,0.994
Fish,-0.895,-0.511,-0.881
Fish,-0.825,-0.33,-0.911
Fish,-0.802,0.307,
Fish,0.119,1.0,-0.846
Fish,-0.979,,
Fish,0.103,-0.411,0.767
Fish,-0.454,-0.078,
Fish,0.856,-0.006,
Fish,-0.582,,0.182
Fish,0.595,0.096,
Fish,0.901,,
Fish,-0.559,,
Fish,0.255,,
Fish,-0.853,0.73,
Fish,-0.633,,
Fish,0.929,0.353,
Fish,0.122,0.698,
Fish,0.698,,0.903
Fish,-0.112,,
Fish,0.281,-0.942,0.591
Fish,0.82,,0.333
Fish,-0.806,0.927,0.144
Fish,0.642,-0.024,
Fish,0.125,0.087,-0.835
Fish,-0.31,,
Fish,-0.949,-0.269,
Fish,-0.12,,-0.731
Fish,-0.567,,0.714
Fish,-0.302,-0.922,0.228
Fish,-0.049,0.662,
Fish,0.439,,0.963
Fish,-0.991,,-0.494
Fish,-0.264,,-0.474
Fish,0.494,0.722,
Flaxseed,-0.936,,
Flour,-0.519,,0.949
Flour,0.926,-0.892,-0.16
Flour,0.81,0.545,
Flour,-0.46,,-0.463
Flour,0.305,,0.022
Flour,0.179,,0.418
Flour,0.781,-0.365,0.968
Flour,0.096,0.329,0.859
Flour,0.045,0.796,
Flour,-0.423,,0.472
Flour,0.967,,
Flour,0.546,,
Fluid replacement,-0.128,,
Focaccia,0.209,,
Folic acid as ingredient,0.883,,
Formulated bar,0.766,-0.383,-0.061
Formulated bar,0.018,,0.499
Formulated bar,0.111,-0.241,-0.295
Formulated bar,-0.222,,-0.2
Formulated Bar,0.188,0.321,0.191
Formulated bar,-0.199,0.971,0.894
Frankfurter,0.76,,
Frankfurter,0.764,,
Frankfurter,-0.547,,0.254
Frankfurter,0.799,,
Frankfurter,-0.22,,0.425
Frankfurter,0.107,0.388,-0.626
Frog legs,-0.405,,0.586
Frostings,-0.45,0.003,-0.726
Frostings,-0.362,0.731,
Frozen novelties,-0.772,-0.597,
Frozen novelties,-0.226,,-0.824
Frozen novelties,0.522,-0.59,0.96
Frozen novelties,-0.64,0.438,
Frozen novelties,0.984,,0.428
Frozen novelties,0.43,0.588,
Frozen novelties,0.262,-0.798,-0.881
Frozen yogurts,0.168,-0.098,
Frozen yogurts,0.775,,-0.425
Frozen yogurts,-0.648,,0.478
Fruit butters,-0.204,-0.199,
Fruit cocktail,-0.188,0.544,
Fruit juice smoothie,0.882,-0.677,-0.405
Fruit juice smoothie,0.631,,
Fruit syrup,0.905,-0.976,-0.965
Game meat,-0.739,-0.523,
Game meat,0.948,0.657,
Game meat,-0.736,0.144,-0.373
Game meat,0.524,,
Game meat,-0.009,,
Game meat,-0.091,,0.353
Game meat,0.897,,
Game meat,0.014,-0.335,0.981
Game meat,0.255,0.239,-0.834
Game meat,-0.98,0.485,
Game meat,0.731,-0.881,0.378
Game meat,-0.777,,-0.762
Game meat,0.632,-0.688,
Game meat,-0.332,,0.112
Garlic bread,0.461,0.139,
Garlic,-0.804,0.407,
Gelatin desserts,0.082,,
Gelatin desserts,-0.207,-0.402,0.497
Ginger root,-0.723,,
Ginger root,-0.896,-0.693,
Goose,0.287,-0.47,
Granola bar,0.996,0.207,-0.589
Grape juice,0.434,-0.795,-0.14
Grape juice,-0.957,,-0.439
Grape juice,-0.22,0.348,
Grape juice,-0.559,,-0.669
Grape leaves,-0.032,,0.519
Grapefruit juice,0.96,-0.091,
Grapefruit juice,-0.336,,
Grapefruit juice,-0.129,-0.095,-0.091
Grapefruit juice,0.866,,
Grapefruit,0.118,0.464,-0.459
Grapefruit,-0.141,,
Grapes,-0.033,,
Grapes,-0.073,-0.938,0.971
Gravy,-0.796,-0.597,-0.2
Gravy,0.483,-0.359,
Guanabana nectar,0.051,,
Guava nectar,-0.812,-0.839,
Guava sauce,0.197,,
Guavas,-0.134,0.472,0.806
Ham salad spread,-0.441,,
Ham,-0.831,,0.169
Ham,0.792,-0.302,0.917
Headcheese,-0.173,0.946,
Hearts of palm,-0.318,,-0.271
Hominy,-0.099,,
Honey,-0.956,,-0.959
