ingredient,dii_score,matched_nutrients,total_nutrients,match_percentage,general people inflammation,Sam inflammation,Andrea inflammation,10:0,12:0,14:0,16:0,16:1,18:0,18:1,18:2,18:3,18:4,20:1,20:4,20:5 n-3,22:1,22:5 n-3,22:6 n-3,4:0,6:0,8:0,Alcohol,Caffeine,Calcium,Carbohydrate,"Carotene, alpha","Carotene, beta",Cholesterol,"Choline, total",Copper,"Cryptoxanthin, beta",Energy,"Fatty acids, total monounsaturated","Fatty acids, total polyunsaturated","Fatty acids, total saturated","Fiber, total dietary","Folate, DFE","Folate, food","Folate, total",Folic acid,Iron,Lutein + zeaxanthin,Lycopene,Magnesium,Niacin,Phosphorus,Potassium,Protein,Retinol,Riboflavin,Selenium,Sodium,"Sugars, total",Theobromine,Thiamin,Total Fat,"Vitamin A, RAE",Vitamin B-12,"Vitamin B-12, added",Vitamin B-6,Vitamin C,Vitamin D (D2 + D3),Vitamin E (alpha-tocopherol),"Vitamin E, added",Vitamin K (phylloquinone),Water,Zinc
"Cheese, cottage, nonfat, uncreamed, dry, large or small curd",6.6629,26,65,40.0,6.6629,9.2548,6.2705,0.009,0.006,0.02,0.07,0.012,0.05,0.067,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007,0.002,0.005,0.0,0.0,86.0,6.66,0.0,0.0,7.0,17.9,0.03,0.0,72.0,0.079,0.003,0.169,0.0,9.0,9.0,9.0,0.0,0.15,0.0,0.0,11.0,0.144,190.0,137.0,10.34,2.0,0.226,9.4,372.0,1.85,0.0,0.023,0.29,2.0,0.46,0.0,0.016,0.0,0.0,0.01,0.0,0.0,81.01,0.47
"Cheese, cottage, lowfat, 2% milkfat",-17.1942,26,65,40.0,-17.1942,-20.6052,-16.5496,0.061,0.062,0.201,0.568,0.029,0.228,0.47,0.071,0.007,0.0,0.003,0.003,0.001,0.0,0.001,0.0,0.04,0.035,0.026,0.0,0.0,103.0,4.31,0.0,0.0,12.0,16.3,0.03,0.0,82.0,0.469,0.072,1.26,0.0,10.0,10.0,10.0,0.0,0.13,0.0,0.0,9.0,0.09,148.0,120.0,11.0,69.0,0.234,14.6,321.0,4.1,0.0,0.02,2.3,69.0,0.42,0.0,0.057,0.0,0.0,0.08,0.0,0.0,81.1,0.61
"Cheese, cottage, lowfat, 1% milkfat",5.7823,26,65,40.0,5.7823,7.6011,5.4011,0.019,0.016,0.107,0.308,0.036,0.116,0.239,0.022,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033,0.007,0.008,0.0,0.0,61.0,2.72,0.0,3.0,4.0,17.5,0.028,0.0,72.0,0.291,0.031,0.645,0.0,12.0,12.0,12.0,0.0,0.14,0.0,0.0,5.0,0.128,134.0,86.0,12.39,11.0,0.165,9.0,406.0,2.72,0.0,0.021,1.02,11.0,0.63,0.0,0.068,0.0,0.0,0.01,0.0,0.1,82.48,0.38
"Cream cheese, full fat, block",-26.2939,26,65,40.0,-26.2939,-32.3934,,0.868,1.02,3.23,9.21,0.651,3.01,7.776,0.708,0.131,0.001,0.064,0.053,0.01,0.002,0.02,0.0,0.718,0.592,0.366,0.0,0.0,97.0,4.56,0.0,0.0,101.0,26.8,0.0,0.0,343.0,6.92,1.483,19.7,0.0,9.0,9.0,9.0,0.0,0.0,7.0,0.0,9.0,0.092,108.0,125.0,5.79,274.0,0.23,8.6,368.0,3.76,0.0,0.038,33.49,274.0,0.0,0.0,0.039,0.0,0.0,0.86,0.0,2.1,54.72,0.59
"Cheese, feta, whole milk, crumbled",-5.1663,26,65,40.0,-5.1663,,-5.5028,0.481,0.545,1.8,5.31,0.285,1.74,3.66,0.424,0.265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.404,0.334,0.503,0.0,0.0,371.0,5.58,0.0,0.0,58.0,15.4,0.032,0.0,273.0,4.18,0.591,11.2,0.0,32.0,32.0,32.0,0.0,0.07,0.0,0.0,18.0,0.264,328.0,105.0,19.71,147.0,0.444,15.0,1034.0,1.63,0.0,0.056,19.08,147.0,1.69,0.0,0.038,0.0,0.0,0.18,0.0,1.8,51.89,2.35
"Cheese, fontina",-16.3269,26,65,40.0,-16.3269,,-17.7764,0.651,0.804,2.964,8.458,0.89,2.655,7.1,0.864,0.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.715,0.489,0.314,0.0,0.0,550.0,1.55,0.0,32.0,116.0,15.4,0.025,0.0,389.0,8.687,1.654,19.196,0.0,6.0,6.0,6.0,0.0,0.23,0.0,0.0,14.0,0.15,346.0,64.0,25.6,258.0,0.204,14.5,800.0,1.55,0.0,0.021,31.14,261.0,1.68,0.0,0.083,0.0,0.6,0.27,0.0,2.6,37.92,3.5
"Cheese, gouda",7.3951,26,65,40.0,7.3951,8.9138,6.9537,0.918,1.211,3.04,6.851,0.889,2.918,6.388,0.263,0.394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.999,0.64,0.427,0.0,0.0,700.0,2.22,0.0,10.0,114.0,15.4,0.036,0.0,356.0,7.747,0.657,17.614,0.0,21.0,21.0,21.0,0.0,0.24,0.0,0.0,29.0,0.063,546.0,121.0,24.94,164.0,0.334,14.5,819.0,2.22,0.0,0.03,27.44,165.0,1.54,0.0,0.08,0.0,0.5,0.24,0.0,2.3,41.46,3.9
"Cheese, gruyere",-27.2765,26,65,40.0,-27.2765,,,0.751,0.911,3.369,8.753,0.724,2.324,8.582,1.3,0.433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.049,0.621,0.355,0.0,0.0,1011.0,0.36,0.0,33.0,110.0,15.4,0.032,0.0,413.0,10.043,1.733,18.913,0.0,10.0,10.0,10.0,0.0,0.17,0.0,0.0,36.0,0.106,605.0,81.0,29.81,268.0,0.279,14.5,714.0,0.36,0.0,0.06,32.34,271.0,1.6,0.0,0.081,0.0,0.6,0.28,0.0,2.7,33.19,3.9
"Cheese, limburger",-66.9058,26,65,40.0,-66.9058,-90.5409,-67.3755,0.481,0.87,2.787,7.401,1.013,3.054,7.179,0.339,0.156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.803,0.489,0.275,0.0,0.0,497.0,0.49,0.0,15.0,90.0,15.4,0.021,0.0,327.0,8.606,0.495,16.746,0.0,58.0,58.0,58.0,0.0,0.13,0.0,0.0,21.0,0.158,393.0,128.0,20.05,339.0,0.503,14.5,800.0,0.49,0.0,0.08,27.25,340.0,1.04,0.0,0.086,0.0,0.5,0.23,0.0,2.3,48.42,2.1
"Cheese, mozzarella, low moisture, part-skim",-29.4899,26,65,40.0,-29.4899,,-27.4366,0.509,0.583,1.89,5.39,0.326,2.01,4.61,0.731,0.078,0.0,0.038,0.032,0.006,0.0,0.012,0.0,0.396,0.334,0.209,0.0,0.0,693.0,4.44,0.0,0.0,65.0,13.5,0.035,0.0,296.0,4.65,0.744,11.7,0.0,26.0,26.0,26.0,0.0,0.2,0.0,0.0,27.0,0.101,533.0,116.0,23.7,203.0,0.36,26.7,699.0,1.81,0.0,0.023,20.4,203.0,1.65,0.0,0.09,0.0,0.4,0.51,0.0,1.3,47.7,3.62
"Cheese, muenster",-43.3189,26,65,40.0,-43.3189,,-39.4595,0.586,0.367,3.072,9.218,0.973,3.569,7.338,0.431,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.042,0.243,0.275,0.0,0.0,717.0,1.12,0.0,13.0,96.0,15.4,0.031,0.0,368.0,8.711,0.661,19.113,0.0,12.0,12.0,12.0,0.0,0.41,0.0,0.0,27.0,0.103,468.0,134.0,23.41,297.0,0.32,14.5,628.0,1.12,0.0,0.013,30.04,298.0,1.47,0.0,0.056,0.0,0.6,0.26,0.0,2.5,41.77,2.81
"Cheese, parmesan, grated",-16.1044,26,65,40.0,-16.1044,-19.0463,-17.339,0.653,0.745,2.39,7.4,0.366,2.67,6.44,1.17,0.106,0.0,0.05,0.042,0.008,0.001,0.015,0.0,0.508,0.435,0.274,0.0,0.0,884.0,12.4,0.0,0.0,87.0,14.1,0.04,0.0,420.0,6.4,1.2,15.5,0.0,6.0,6.0,6.0,0.0,0.45,0.0,0.0,35.0,0.078,634.0,184.0,29.6,228.0,0.345,35.0,1750.0,0.07,0.0,0.027,28.0,228.0,1.35,0.0,0.081,0.0,0.5,0.51,0.0,1.7,22.8,4.33
"Cheese, ricotta, whole milk",-21.78,26,65,40.0,-21.78,-26.0427,,0.306,0.36,1.15,3.36,0.216,1.02,2.47,0.376,0.043,0.001,0.02,0.015,0.005,0.002,0.007,0.0,0.251,0.199,0.125,0.0,0.0,224.0,6.86,0.0,0.0,48.0,17.5,0.0,0.0,158.0,2.56,0.389,6.97,0.0,4.0,4.0,4.0,0.0,0.1,0.0,0.0,20.0,0.168,162.0,230.0,7.81,127.0,0.327,5.5,105.0,0.27,0.0,0.043,11.0,127.0,0.78,0.0,0.099,0.0,0.2,0.27,0.0,0.6,72.9,0.56
"Cheese, ricotta, part skim milk",-20.7838,26,65,40.0,-20.7838,,-20.2068,0.151,0.105,0.808,2.442,0.277,0.866,1.92,0.19,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.254,0.065,0.073,0.0,0.0,272.0,5.14,0.0,20.0,31.0,16.3,0.034,0.0,138.0,2.314,0.26,4.927,0.0,13.0,13.0,13.0,0.0,0.44,0.0,0.0,15.0,0.078,183.0,125.0,11.39,105.0,0.185,16.7,99.0,0.31,0.0,0.021,7.91,107.0,0.29,0.0,0.02,0.0,0.1,0.07,0.0,0.7,74.41,1.34
"Cheese, swiss",-42.9513,26,65,40.0,-42.9513,-61.3996,-44.4849,0.766,0.874,2.92,8.34,0.566,3.18,7.07,1.08,0.129,0.001,0.06,0.046,0.009,0.002,0.018,0.0,0.679,0.541,0.326,0.0,0.0,890.0,1.44,1.0,60.0,93.0,13.8,0.047,2.0,393.0,7.26,1.14,18.2,0.0,9.0,9.0,9.0,0.0,0.13,8.0,1.0,33.0,0.06,574.0,71.0,27.0,287.0,0.303,30.1,185.0,0.0,0.0,0.011,31.0,292.0,3.02,0.0,0.07,0.0,0.0,0.6,0.0,1.4,37.6,4.37
"Cheese, pasteurized process, American, vitamin D fortified",-47.2918,26,65,40.0,-47.2918,-66.5174,-44.1106,0.801,0.882,2.93,8.15,0.499,3.24,7.22,1.03,0.14,0.007,0.223,0.045,0.012,0.002,0.021,0.006,0.616,0.509,0.333,0.0,0.0,866.0,5.27,0.0,26.0,98.0,19.2,0.046,4.0,368.0,7.3,1.09,18.1,0.0,8.0,8.0,8.0,0.0,0.48,16.0,0.0,25.0,0.095,540.0,149.0,18.0,297.0,0.247,20.4,1420.0,2.63,0.0,0.015,30.6,300.0,1.45,0.0,0.056,0.0,7.5,0.79,0.0,3.2,39.6,2.42
"Cheese spread, pasteurized process, American",-16.2514,26,65,40.0,-16.2514,-22.3996,-16.2651,0.513,0.632,2.181,5.908,0.56,2.434,5.221,0.4,0.223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.688,0.408,0.311,0.0,0.0,562.0,8.73,0.0,55.0,55.0,36.2,0.033,0.0,290.0,6.219,0.624,13.327,0.0,7.0,7.0,7.0,0.0,0.33,0.0,0.0,29.0,0.131,875.0,242.0,16.41,168.0,0.431,11.3,1625.0,7.32,0.0,0.048,21.23,173.0,0.4,0.0,0.117,0.0,0.4,0.19,0.0,1.8,47.65,2.59
"Cream, fluid, half and half",-11.2627,26,65,40.0,-11.2627,,-10.6703,0.303,0.351,1.148,3.207,0.246,1.221,2.905,0.466,0.041,0.0,0.02,0.018,0.003,0.0,0.006,0.0,0.247,0.202,0.127,0.0,0.0,107.0,4.3,0.0,22.0,35.0,18.7,0.009,0.0,131.0,3.32,0.554,7.032,0.0,3.0,3.0,3.0,0.0,0.05,0.0,0.0,10.0,0.109,95.0,132.0,3.13,95.0,0.194,3.2,61.0,4.13,0.0,0.03,11.5,97.0,0.19,0.0,0.05,0.9,0.0,0.25,0.0,1.3,80.57,0.39
"Cream, fluid, light (coffee cream or table cream)",-3.2054,26,65,40.0,-3.2054,-3.2309,-3.0752,0.456,0.526,1.682,4.585,0.334,1.719,3.952,0.654,0.064,0.0,0.03,0.027,0.005,0.002,0.01,0.0,0.388,0.314,0.194,0.0,0.0,91.0,3.66,0.0,37.0,59.0,17.4,0.012,0.0,195.0,4.525,0.789,10.176,0.0,2.0,2.0,2.0,0.0,0.05,0.0,0.0,9.0,0.09,92.0,136.0,2.96,117.0,0.19,4.6,72.0,3.67,0.0,0.023,19.1,120.0,0.14,0.0,0.044,0.8,1.1,0.12,0.0,1.7,73.75,0.32
"Cream, heavy",-44.9766,26,65,40.0,-44.9766,-43.7801,-42.2976,0.905,1.08,3.4,9.35,0.656,3.19,7.968,0.749,0.128,0.0,0.065,0.058,0.009,0.003,0.02,0.0,0.732,0.609,0.384,0.0,0.0,61.0,3.8,0.0,0.0,103.0,16.8,0.0,0.0,343.0,7.34,1.57,20.4,0.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,6.0,0.061,57.0,97.0,2.02,327.0,0.188,3.0,21.0,2.92,0.0,0.032,35.56,327.0,0.0,0.0,0.031,0.6,1.6,0.92,0.0,3.2,58.13,0.22
"Cream, whipped, cream topping, pressurized",-14.2313,26,65,40.0,-14.2313,-14.814,-15.6237,0.557,0.624,2.235,5.844,0.498,2.693,5.59,0.502,0.323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.721,0.427,0.248,0.0,0.0,101.0,12.49,0.0,43.0,76.0,16.8,0.01,0.0,257.0,6.418,0.825,13.831,0.0,3.0,3.0,3.0,0.0,0.05,0.0,0.0,11.0,0.07,89.0,147.0,3.2,184.0,0.065,1.4,8.0,8.0,0.0,0.037,22.22,188.0,0.29,0.0,0.041,0.0,0.4,0.64,0.0,1.9,61.33,0.37
"Cream, sour, full fat",-16.4472,26,65,40.0,-16.4472,,-15.8867,0.378,0.547,1.75,5.04,0.294,1.6,4.129,0.385,0.074,0.0,0.029,0.025,0.006,0.0,0.011,0.001,0.031,0.203,0.145,0.0,0.0,107.0,5.56,0.0,0.0,53.0,19.2,0.0,0.0,196.0,3.8,0.8,10.7,0.0,6.0,6.0,6.0,0.0,0.0,4.0,0.0,10.0,0.1,102.0,154.0,3.07,152.0,0.168,3.7,50.0,3.41,0.0,0.043,17.99,152.0,0.06,0.0,0.038,0.9,0.0,0.38,0.0,1.5,72.58,0.39
Eggnog,-9.7277,26,65,40.0,-9.7277,-9.394,-9.6869,0.1,0.112,0.401,1.131,0.101,0.511,1.142,0.132,0.059,0.0,0.0,0.003,0.0,0.0,0.0,0.0,0.129,0.076,0.044,0.0,0.0,130.0,8.05,0.0,7.0,59.0,52.2,0.013,0.0,88.0,1.302,0.198,2.591,0.0,1.0,1.0,1.0,0.0,0.2,54.0,0.0,19.0,0.105,109.0,165.0,4.55,58.0,0.19,4.2,54.0,8.05,0.0,0.034,4.19,59.0,0.45,0.0,0.05,1.5,1.2,0.21,0.0,0.3,82.54,0.46
"Cheese, American, nonfat or fat free",-56.8031,26,65,40.0,-56.8031,,-53.4769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,789.0,10.53,0.0,3.0,26.0,38.4,0.559,0.0,126.0,0.0,0.0,0.0,0.0,9.0,9.0,9.0,0.0,0.0,0.0,0.0,115.0,5.56,316.0,393.0,21.05,55.0,0.545,14.6,1316.0,5.26,0.0,0.412,0.0,56.0,1.85,0.0,0.567,0.0,0.1,0.27,0.0,0.2,65.47,4.11
"Cheese, American, restaurant",-45.9959,26,65,40.0,-45.9959,,,0.759,0.856,2.75,8.3,0.454,3.02,6.6,1.24,0.156,0.005,0.049,0.042,0.009,0.002,0.017,0.001,0.656,0.526,0.327,0.0,0.0,508.0,6.35,0.0,26.0,98.0,19.2,0.042,4.0,375.0,6.62,1.23,17.7,0.0,8.0,8.0,8.0,0.0,0.24,16.0,0.0,25.0,0.095,380.0,173.0,17.5,297.0,0.247,20.4,1600.0,3.76,0.0,0.015,31.1,300.0,1.45,0.0,0.056,0.0,7.5,0.79,0.0,3.2,39.5,2.45
"Cream substitute, liquid, with hydrogenated vegetable oil and soy protein",28.2603,26,65,40.0,28.2603,26.9279,26.1239,0.013,0.062,0.019,0.884,0.0,0.976,7.559,0.022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,9.0,11.38,0.0,9.0,0.0,0.0,0.0,0.0,136.0,7.551,0.027,1.937,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,64.0,191.0,1.0,0.0,0.0,1.1,67.0,11.38,0.0,0.0,9.97,1.0,0.0,0.0,0.0,0.0,0.0,0.81,0.0,2.5,77.27,0.02
"Cream substitute, powdered",116.7236,26,65,40.0,116.7236,114.0619,,0.879,6.764,2.666,3.146,0.006,4.29,9.768,0.382,0.026,0.0,0.019,0.0,0.0,0.0,0.0,0.0,0.006,0.094,1.118,0.0,0.0,2.0,59.29,0.0,0.0,0.0,2.3,0.018,0.0,529.0,9.796,0.408,19.146,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.0,1.0,0.0,288.0,669.0,2.48,0.0,0.0,0.0,124.0,7.77,0.0,0.0,32.92,0.0,0.0,0.0,0.0,0.0,0.0,1.26,0.0,1.7,2.98,0.07
"Dessert topping, semi solid, frozen",70.3446,26,65,40.0,70.3446,71.9731,,0.905,8.836,3.756,3.092,0.241,4.58,1.375,0.305,0.218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.638,0.0,0.0,6.0,23.05,0.0,86.0,0.0,0.0,0.03,0.0,318.0,1.616,0.523,21.783,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,2.0,0.0,8.0,18.0,1.25,0.0,0.0,2.1,25.0,23.05,0.0,0.0,25.31,7.0,0.0,0.0,0.0,0.0,0.0,0.96,0.0,6.3,50.21,0.03
"Sour cream, imitation, cultured",46.5139,26,65,40.0,46.5139,48.8442,47.0893,1.006,8.138,3.364,1.981,0.0,2.244,0.589,0.056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.028,0.0,0.0,3.0,6.63,0.0,0.0,0.0,0.0,0.058,0.0,208.0,0.588,0.056,17.791,0.0,0.0,0.0,0.0,0.0,0.39,0.0,0.0,6.0,0.0,45.0,161.0,2.4,0.0,0.0,2.5,102.0,6.63,0.0,0.0,19.52,0.0,0.0,0.0,0.0,0.0,0.0,0.74,0.0,4.8,71.15,1.18
"Milk, whole, 3.25% milkfat, with added vitamin D",-5.2332,26,65,40.0,-5.2332,,-5.5607,0.084,0.097,0.303,0.857,0.047,0.309,0.694,0.115,0.013,0.0,0.004,0.004,0.001,0.0,0.002,0.0,0.067,0.054,0.034,0.0,0.0,123.0,4.63,0.0,7.0,12.0,17.8,0.001,0.0,61.0,0.688,0.108,1.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.105,101.0,150.0,3.27,31.0,0.138,1.9,38.0,4.81,0.0,0.056,3.2,32.0,0.54,0.0,0.061,0.0,1.1,0.05,0.0,0.3,88.1,0.42
"Milk, reduced fat, fluid, 2% milkfat, with added vitamin A and vitamin D",-28.7828,26,65,40.0,-28.7828,,-29.2115,0.049,0.058,0.181,0.512,0.029,0.184,0.41,0.061,0.007,0.0,0.002,0.003,0.0,0.0,0.001,0.0,0.041,0.032,0.021,0.0,0.0,126.0,4.9,0.0,3.0,8.0,18.2,0.001,0.0,50.0,0.4,0.058,1.11,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,12.0,0.112,103.0,159.0,3.36,83.0,0.137,1.8,39.0,4.89,0.0,0.059,1.9,83.0,0.55,0.0,0.061,0.2,1.1,0.03,0.0,0.2,89.1,0.43
"Milk, lowfat, fluid, 1% milkfat, with added vitamin A and vitamin D",-20.7557,26,65,40.0,-20.7557,-27.1823,,0.023,0.026,0.093,0.265,0.014,0.096,0.214,0.033,0.004,0.0,0.001,0.001,0.0,0.0,0.0,0.0,0.022,0.015,0.011,0.0,0.0,126.0,5.18,0.0,1.0,5.0,17.4,0.001,0.0,43.0,0.21,0.032,0.568,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,12.0,0.113,103.0,159.0,3.38,58.0,0.14,2.1,39.0,4.96,0.0,0.057,0.95,58.0,0.61,0.0,0.06,0.0,1.1,0.02,0.0,0.1,89.7,0.43
